Ymd,hhmm,g_n,g_s,a,R_n,R_s,Rr,obs,KN,KS
2019-03-17,21:07,46,-75,0,71,-57,0,1,0,0
2019-03-27,21:07,50,-78,0,71,-57,0,2,0,0
2019-04-16,21:07,59,-72,0,72,-56,11,1,11,0
2019-04-26,21:07,60,-69,0,72,-56,0,4,0,0
2019-05-06,21:07,64,-66,0,73,-56,13,1,13,0
2019-05-26,21:07,73,-58,0,73,-56,0,4,0,0
2019-06-05,21:07,75,-57,0,73,-56,0,2,0,0
2019-06-15,21:07,77,-57,0,74,-55,0,2,0,0
2019-06-25,21:07,83,-48,1,74,-55,10,4,10,0
2019-07-05,21:07,84,-49,0,74,-55,0,3,0,0
2019-07-15,21:07,84,-48,0,74,-55,0,4,0,0
2019-07-25,21:07,86,-46,0,74,-55,0,1,0,0
2019-08-04,21:07,90,-38,0,74,-55,0,2,0,0
2019-08-24,21:07,94,-34,0,74,-55,0,1,0,0
2019-09-03,21:07,102,-34,0,74,-55,0,3,0,0
2019-09-13,21:07,104,-35,0,74,-55,0,4,0,0
2019-10-03,21:07,98,-38,0,73,-55,0,3,0,0
2019-10-13,21:07,97,-36,0,73,-55,0,4,0,0
2019-10-23,21:07,94,-42,0,73,-55,0,2,0,0
2019-11-22,21:07,73,-46,0,71,-55,0,1,0,0
2019-12-12,21:07,62,-60,0,70,-55,0,1,0,0
2020-01-01,21:07,54,-53,1,69,-55,12,2,0,12
2020-02-10,21:07,45,-77,0,66,-56,0,3,0,0
2020-02-20,21:07,43,-76,0,65,-56,0,4,0,0
2020-03-11,21:07,35,-76,0,64,-57,0,1,0,0
2020-03-21,21:07,42,-69,0,63,-58,0,4,0,0
2020-03-31,21:07,48,-61,1,62,-58,12,1,12,0
2020-04-10,21:07,51,-65,0,61,-58,0,4,0,0
2020-04-30,21:07,51,-63,2,59,-59,22,3,10,12
2020-05-10,21:07,53,-59,0,58,-60,0,1,0,0
2020-05-20,21:07,54,-60,0,57,-61,0,2,0,0
2020-05-30,21:07,64,-57,0,55,-61,0,3,0,0

